data,novos_casos,novas_mortes
2020-10-15,4,0
2021-03-13,2,0
2020-07-31,0,0
2021-05-21,16,2
2021-06-10,16,0
2021-03-03,10,0
2020-01-10,,
2020-06-03,0,0
2021-01-11,0,0
2020-08-21,0,0
2020-04-05,0,0
2020-02-26,,
2020-03-15,,
2021-07-28,0,0
2020-10-22,0,0
2020-06-21,1,0
2021-03-06,0,0
2020-11-12,-4,1
2021-02-01,3,0
2020-12-05,0,0
2020-11-14,0,0
2021-10-20,0,0
2020-07-11,0,0
2021-03-31,7,1
2021-09-05,0,0
2020-08-25,0,0
2021-05-18,2,0
2021-04-24,0,0
2021-12-24,0,0
2021-12-16,0,0
2021-11-04,1,0
2020-05-23,0,0
2021-02-10,5,0
2020-07-25,286,13
2020-03-03,,
2020-10-28,0,0
2021-05-11,1,0
2020-05-25,0,0
2020-02-27,,
2021-10-28,0,0
2021-09-01,75,1
2021-06-24,8,0
2020-06-06,2,0
2021-02-23,1,0
2021-01-12,0,0
2021-01-25,92,2
2020-05-03,0,0
2021-10-11,0,0
2021-11-03,0,0
2021-02-11,5,0
2021-04-17,0,0
2020-02-10,,
2021-05-20,6,1
2021-10-16,0,0
2021-04-23,47,2
2020-03-04,,
2021-08-12,0,0
2021-01-09,0,0
2021-04-11,0,0
2021-07-02,1,0
2021-10-07,1,0
2021-12-19,0,0
2021-03-13,8,0
2020-02-06,,
2020-06-16,0,0
2021-12-20,0,0
2020-11-02,0,0
2020-03-24,,
2020-07-09,2,0
2021-03-18,2,0
2021-07-28,0,0
2020-02-27,,
2020-10-15,0,0
2020-12-28,0,0
2020-11-04,0,0
2020-08-02,0,1
2020-07-14,5,0
2020-07-24,7,0
2020-10-21,0,0
2020-03-12,,
2021-01-07,3,0
2021-04-03,0,0
2020-05-07,2,0
2021-09-23,0,0
2021-04-02,0,0
2020-07-04,0,0
2021-01-23,2,0
2021-04-12,0,1
2021-01-03,0,0
2020-06-10,0,0
2021-07-30,0,0
2021-03-07,0,0
2021-06-09,5,0
2020-03-24,,
2020-06-04,0,0
2021-01-22,0,0
2021-04-16,10,0
2021-03-16,3,0
2020-02-26,,
2020-08-01,0,0
2021-11-04,0,0
2021-08-17,0,0
2021-01-12,0,0
2020-11-15,0,0
2020-03-28,0,0
2021-10-31,0,0
2021-01-13,0,0
2020-03-05,,
2021-08-19,1,0
2020-02-29,,
